__time,/model_pose/x/position,/model_pose/y/position,/model_pose/z/position
1751976388.49301,-0.001029355,-0.027214093,0.056832016
1751976388.49497,-0.001029355,-0.027214093,0.056832016
1751976388.49696,-0.001029355,-0.027214093,0.056832016
1751976388.49899,-0.001029355,-0.027214093,0.056832016
1751976388.50097,-0.001181077,-0.027557789,0.056658406
1751976388.50298,-0.001181077,-0.027557789,0.056658406
1751976388.50496,-0.001181077,-0.027557789,0.056658406
1751976388.50689,-0.001181077,-0.027557789,0.056658406
1751976388.50895,-0.001181077,-0.027557789,0.056658406
1751976388.51094,-0.001181077,-0.027557789,0.056658406
1751976388.51302,-0.001310697,-0.027873002,0.056516924
1751976388.51495,-0.001310697,-0.027873002,0.056516924
1751976388.51693,-0.001310697,-0.027873002,0.056516924
1751976388.51894,-0.001310697,-0.027873002,0.056516924
1751976388.52098,-0.001310697,-0.027873002,0.056516924
1751976388.52298,-0.00139374,-0.028194929,0.056447157
1751976388.52494,-0.00139374,-0.028194929,0.056447157
1751976388.52694,-0.00139374,-0.028194929,0.056447157
1751976388.52895,-0.00139374,-0.028194929,0.056447157
1751976388.53097,-0.00139374,-0.028194929,0.056447157
1751976388.53295,-0.001501364,-0.028517299,0.056341809
1751976388.53498,-0.001501364,-0.028517299,0.056341809
1751976388.53697,-0.001501364,-0.028517299,0.056341809
1751976388.53895,-0.001501364,-0.028517299,0.056341809
1751976388.54097,-0.001501364,-0.028517299,0.056341809
1751976388.54292,-0.001608843,-0.028826065,0.056235182
1751976388.54494,-0.001608843,-0.028826065,0.056235182
1751976388.54693,-0.001608843,-0.028826065,0.056235182
1751976388.5489,-0.001608843,-0.028826065,0.056235182
1751976388.55101,-0.001608843,-0.028826065,0.056235182
1751976388.55294,-0.001757259,-0.029208086,0.056081512
1751976388.55496,-0.001757259,-0.029208086,0.056081512
1751976388.55698,-0.001757259,-0.029208086,0.056081512
1751976388.55893,-0.001757259,-0.029208086,0.056081512
1751976388.56096,-0.001757259,-0.029208086,0.056081512
1751976388.56296,-0.001757259,-0.029208086,0.056081512
1751976388.56494,-0.001824443,-0.029618499,0.056054041
1751976388.56696,-0.001824443,-0.029618499,0.056054041
1751976388.56894,-0.001824443,-0.029618499,0.056054041
1751976388.57097,-0.001824443,-0.029618499,0.056054041
1751976388.57296,-0.001824443,-0.029618499,0.056054041
1751976388.57501,-0.001904995,-0.029817072,0.055970224
1751976388.57696,-0.001904995,-0.029817072,0.055970224
1751976388.57898,-0.001904995,-0.029817072,0.055970224
1751976388.58098,-0.001904995,-0.029817072,0.055970224
1751976388.58297,-0.001904995,-0.029817072,0.055970224
1751976388.58497,-0.001917847,-0.03017058,0.055878306
1751976388.58695,-0.001917847,-0.03017058,0.055878306
1751976388.58909,-0.001917847,-0.03017058,0.055878306
1751976388.59096,-0.001917847,-0.03017058,0.055878306
1751976388.59295,-0.001917847,-0.03017058,0.055878306
1751976388.59493,-0.001917847,-0.03017058,0.055878306
1751976388.59698,-0.002014104,-0.030496042,0.05570699
1751976388.59894,-0.002014104,-0.030496042,0.05570699
1751976388.60095,-0.002014104,-0.030496042,0.05570699
1751976388.60294,-0.002014104,-0.030496042,0.05570699
1751976388.60499,-0.002014104,-0.030496042,0.05570699
1751976388.60695,-0.002071772,-0.030875184,0.055614768
1751976388.60903,-0.002071772,-0.030875184,0.055614768
1751976388.61093,-0.002071772,-0.030875184,0.055614768
1751976388.61296,-0.002071772,-0.030875184,0.055614768
1751976388.61498,-0.002071772,-0.030875184,0.055614768
1751976388.61705,-0.002071772,-0.030875184,0.055614768
1751976388.61934,-0.002139706,-0.031282748,0.055466885
1751976388.62097,-0.002139706,-0.031282748,0.055466885
1751976388.62301,-0.002139706,-0.031282748,0.055466885
1751976388.62495,-0.002139706,-0.031282748,0.055466885
1751976388.62697,-0.002139706,-0.031282748,0.055466885
1751976388.62901,-0.002139706,-0.031282748,0.055466885
1751976388.63095,-0.002276075,-0.031667184,0.055320379
1751976388.63294,-0.002276075,-0.031667184,0.055320379
1751976388.63494,-0.002276075,-0.031667184,0.055320379
1751976388.63701,-0.002276075,-0.031667184,0.055320379
1751976388.63892,-0.002276075,-0.031667184,0.055320379
1751976388.64093,-0.002276075,-0.031667184,0.055320379
1751976388.64297,-0.002457807,-0.032116618,0.055110564
1751976388.64496,-0.002457807,-0.032116618,0.055110564
1751976388.64693,-0.002457807,-0.032116618,0.055110564
1751976388.64895,-0.002457807,-0.032116618,0.055110564
1751976388.651,-0.002457807,-0.032116618,0.055110564
1751976388.65294,-0.002637642,-0.032534906,0.054891833
1751976388.65495,-0.002637642,-0.032534906,0.054891833
1751976388.65697,-0.002637642,-0.032534906,0.054891833
1751976388.65898,-0.002637642,-0.032534906,0.054891833
1751976388.661,-0.002637642,-0.032534906,0.054891833
1751976388.66301,-0.002718867,-0.03299185,0.054792128
1751976388.66498,-0.002718867,-0.03299185,0.054792128
1751976388.66697,-0.002718867,-0.03299185,0.054792128
1751976388.66898,-0.002718867,-0.03299185,0.054792128
