time,/psm_joint_telemetry/header/stamp,/psm_joint_telemetry/insertion/effort,/psm_joint_telemetry/insertion/position,/psm_joint_telemetry/insertion/velocity,/psm_joint_telemetry/pitch/effort,/psm_joint_telemetry/pitch/position,/psm_joint_telemetry/pitch/velocity,roll_effort,roll_position,roll_velocity
1746523752.41223,20.852,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.42279,20.863,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.43322,20.873,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.44374,20.884,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.45437,20.894,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.46482,20.905,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.47524,20.915,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.48571,20.926,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.49617,20.936,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.50676,20.947,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.51737,20.957,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.52791,20.968,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
1746523752.53846,20.978,0,60004.421875,0,0,-35.067501068,0,0,-0.416999459,-15
