time,pitch_effort,pitch_position,pitch_velocity
1747041080.94301,0,-0.636766255,-38.575473785
1747041080.94607,0,-0.636766255,-48.943367004
1747041080.94913,0,-0.623266697,-50.232093811
1747041080.95213,0,-0.623266697,-47.587757111
1747041080.95509,0,-0.636766255,-46.313873291
1747041080.95829,0,-0.650265813,-47.618152618
1747041080.9619,0,-0.650265813,-50.298980713
1747041080.96542,0,-0.663765371,-49.317512512
1747041080.96836,0,-0.677267611,-50.811645508
1747041080.9715,0,-0.677267611,-83.010467529
1747041080.97464,0,-0.582765341,-91.466049194
1747041080.97813,0,-0.47476083,-83.151397705
1747041080.98111,0,-0.447761714,-64.594398499
1747041080.98416,0,-0.488263071,-56.259849548
1747041080.98726,0,-0.542263985,-59.072143555
1747041080.99033,0,-0.528764427,-70.683059692
1747041080.99345,0,-0.488263071,-71.769119263
1747041080.9966,0,-0.488263071,-64.030838013
1747041080.99962,0,-0.488263071,-64.030838013
1747041081.00277,0,-0.501762629,-62.76474762
1747041081.00578,0,-0.528764427,-62.965515137
1747041081.00881,0,-0.542263985,-66.826660156
1747041081.0119,0,-0.555763543,-68.204605103
1747041081.01506,0,-0.569263101,-69.593017578
1747041081.01818,0,-0.582765341,-71.017883301
1747041081.0215,0,-0.596264899,-72.298675537
1747041081.0247,0,-0.623266697,-72.829376221
1747041081.02775,0,-0.650265813,-75.31010437
1747041081.03088,0,-0.663765371,-79.049179077
1747041081.03428,0,-0.650265813,-82.850143433
1747041081.03726,0,-0.650265813,-80.298980713
1747041081.04092,0,-0.663765371,-79.097686768
1747041081.04427,0,-0.663765371,-81.654586792
1747041081.04717,0,-0.663765371,-81.654586792
1747041081.05034,0,-0.663765371,-81.654586792
1747041081.05363,0,-0.663765371,-81.654586792
1747041081.05669,0,-0.650265813,-82.784851074
1747041081.05979,0,-0.650265813,-80.298980713
1747041081.063,0,-0.636766255,-81.503555298
1747041081.0662,0,-0.636766255,-78.943367004
1747041081.06929,0,-0.636766255,-78.943367004
1747041081.07237,0,-0.623266697,-80.157859802
1747041081.07553,0,-0.609764457,-78.806640625
1747041081.07869,0,-0.609764457,-76.231872559
1747041081.08177,0,-0.609764457,-76.231872559
1747041081.08492,0,-0.609764457,-76.231872559
1747041081.088,0,-0.609764457,-76.231872559
1747041081.09113,0,-0.609764457,-46.231876373
1747041081.09436,0,-0.704266727,-37.868232727
1747041081.09743,0,-0.758267641,-51.090583801
1747041081.10061,0,-0.731268525,-63.543701172
1747041081.1037,0,-0.731268525,-58.433181763
1747041081.1067,0,-0.758267641,-55.909606934
1747041081.10976,0,-0.771769881,-59.909606934
1747041081.11302,0,-0.771769881,-62.500282288
1747041081.11614,0,-0.758267641,-63.595581055
1747041081.11922,0,-0.758267641,-61.14440155
1747041081.12235,0,-0.758267641,-61.14440155
1747041081.1256,0,-0.758267641,-61.14440155
1747041081.12915,0,-0.744768083,-62.287918091
1747041081.13282,0,-0.731268525,-60.70816803
1747041081.1363,0,-0.717768967,-59.257301331
1747041081.13974,0,-0.704266727,-58.022094727
1747041081.14319,0,-0.690767169,-56.670692444
1747041081.1468,0,-0.690767169,-54.366081238
1747041081.14997,0,-0.677267611,-55.217376709
1747041081.15324,0,-0.663765371,-54.070823669
1747041081.15634,0,-0.663765371,-51.654586792
1747041081.16001,0,-0.663765371,-51.654586792
1747041081.16319,0,-0.663765371,-51.654586792
1747041081.16633,0,-0.663765371,-51.654586792
1747041081.1694,0,-0.663765371,-51.654586792
1747041081.17276,0,-0.677267611,-50.417266846
1747041081.17602,0,-0.690767169,-51.867729187
1747041081.1794,0,-0.690767169,-54.366081238
1747041081.18241,0,-0.690767169,-54.366081238
1747041081.18543,0,-0.704266727,-53.001487732
1747041081.18863,0,-0.717768967,-54.511924744
1747041081.19176,0,-0.717768967,-57.077568054
1747041081.19496,0,-0.731268525,-55.877105713
1747041081.19804,0,-0.731268525,-58.433181763
1747041081.20119,0,-0.731268525,-58.433181763
1747041081.20458,0,-0.731268525,-58.433181763
1747041081.2076,0,-0.731268525,-58.433181763
1747041081.21078,0,-0.717768967,-59.627914429
1747041081.21386,0,-0.717768967,-57.077568054
1747041081.21704,0,-0.717768967,-57.077568054
1747041081.22014,0,-0.704266727,-58.261161804
